image_path,file_name,file_extension,status,error,file_size_mb,created_time,modified_time,Species,activity,filename_tokens,image_format,color_mode,width_px,height_px,aspect_ratio,has_exif,camera_make,camera_model,datetime_original,gps_info
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Maktal Ali.jpeg,Maktal Ali.jpeg,.jpeg,success,,0.734,2025-12-15 14:22:04.492727,2025-10-31 10:48:32,Flora And Fauna,Survey,Maktal Ali,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Maktal Ali_Terrain.jpeg,Maktal Ali_Terrain.jpeg,.jpeg,success,,0.824,2025-12-15 14:22:04.519905,2025-10-31 10:48:32,Flora And Fauna,Survey,"Maktal Ali, Terrain",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Maktal Ali_Unsupervised.jpeg,Maktal Ali_Unsupervised.jpeg,.jpeg,success,,0.724,2025-12-15 14:22:04.539783,2025-10-31 10:48:32,Flora And Fauna,Survey,"Maktal Ali, Unsupervised",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\RouteMap.jpeg,RouteMap.jpeg,.jpeg,success,,0.986,2025-12-15 14:22:04.572092,2025-10-31 10:48:32,Flora And Fauna,Survey,RouteMap,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Shusha.jpeg,Shusha.jpeg,.jpeg,success,,0.504,2025-12-15 14:22:04.643640,2025-10-31 10:48:32,Flora And Fauna,Survey,Shusha,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Shusha_Terrain.jpeg,Shusha_Terrain.jpeg,.jpeg,success,,0.615,2025-12-15 14:22:04.669169,2025-10-31 10:48:32,Flora And Fauna,Survey,"Shusha, Terrain",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Shusha_Unsupervised.jpeg,Shusha_Unsupervised.jpeg,.jpeg,success,,0.435,2025-12-15 14:22:04.695221,2025-10-31 10:48:32,Flora And Fauna,Survey,"Shusha, Unsupervised",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Sila Islands.jpeg,Sila Islands.jpeg,.jpeg,success,,0.745,2025-12-15 14:22:04.707614,2025-10-31 10:48:32,Flora And Fauna,Survey,Sila Islands,JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Sila Islands_Terrain.jpeg,Sila Islands_Terrain.jpeg,.jpeg,success,,0.75,2025-12-15 14:22:04.740270,2025-10-31 10:48:32,Flora And Fauna,Survey,"Sila Islands, Terrain",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
D:\NEOM_PROJECT\Marine_New_Data\Islands flora and fauna baseline studies\3. deliverables\01 Reports\June Survey\N745_NEOM Islands_GIS Deliverables\Shapefiles\000_Premobilisation\Maps\Sila Islands_Unsupervised.jpeg,Sila Islands_Unsupervised.jpeg,.jpeg,success,,0.737,2025-12-15 14:22:04.758219,2025-10-31 10:48:34,Flora And Fauna,Survey,"Sila Islands, Unsupervised",JPEG,RGB,3507.0,2480.0,1.4141,False,,,,False
